,name,sku,selling_price,original_price,currency,availability,color,category,source,source_website,breadcrumbs,description,brand,country,average_rating,reviews_count,crawled_at,discount_amount,discount_percent
48,Aeromotion Pants,H29175,42,60,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"These adidas workout pants are made for cool-weather training sessions. The slim fit and lightweight feel ensure distraction-free comfort, and the fabric keeps your muscles warm and ready to move. Moisture-absorbing AEROREADY helps you stay dry. Cinch the drawcord on the elastic waist for just the right fit.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.8,8,2021-10-23 17:50:24.504080,18,30.0
49,ZX 2K Boost 2.0 Shoes,GZ9087,105,150,USD,instock,Black,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"In the '80s, the ZX series made some serious noise when it broke onto the running scene. Not a bad legacy to lace into. Put on these adidas ZX 2K Boost 2.0 Shoes and shake things up yourself. You'll stay comfortable as you do, thanks to plush cushioning.",adidas,USA,4.7,183,2021-10-23 17:50:24.582331,45,30.0
50,Crew Sweatshirt,HG6687,60,75,USD,instock,Purple,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"Even in its simplest version, this adidas sweatshirt goes all in on drama. A metallic-gold Trefoil logo hints at what's in store. Open up the matching zips to reveal a mesh layer underneath. A silhouette transformed in seconds. Your comfort never changes, thanks to the ultra-soft French terry.",adidas,USA,5.0,1,2021-10-23 17:50:24.659031,15,20.0
51,Allover Print Camo Shorts and Tee Set,H20302,36,45,USD,instock,Blue,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"They're so vibrant, not even camouflage can make them blend in. Get kids dressed to explore in this adidas shorts and t-shirt set. Bright yellow splashes on the camo shout to their unstoppable energy. Soft cotton fabric means they'll be comfy, no matter where their discoveries take them.

By buying cotton products from us, you're supporting more sustainable cotton farming.",adidas,USA,5.0,8,2021-10-23 17:50:24.843697,9,20.0
52,Marimekko Believe This Primegreen AEROREADY Training Bra,GV2043,20,28,USD,instock,Pink,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"Celebrate female empowerment your own way. Designed with Finnish label Marimekko, this juniors' adidas training bra shows off your fierce, feminine spirit. Bright colors in Marimekko's famous Räsymatto design give you signature style. Work hard in comfort thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.0,2,2021-10-23 17:50:24.926494,8,28.57142857142857
53,Brand Love Repeat Logo High-Waist Woven Pants,GS1355,36,45,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"First things first. These are not your average track pants. They've got big personality, with an allover crinkle texture and a stacked adidas Badge of Sport that will make you do a double take. Elastic at the waist and ankles gives a secure fit with plenty of give.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.3,16,2021-10-23 17:50:25.080652,9,20.0
54,adidas x Zoe Saldana Feelbrilliant AEROREADY 3/4 Printed Sport Tights,GS3913,36,45,USD,instock,Black,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"With these adidas tights, you don't have to choose between function and style. Bend, stretch and flex confidently in a snug fit that offers coverage in all the right places. Stay comfortable even when your workout heats up, then move on to the rest of your day feeling fresh and dry, thanks to moisture-absorbing AEROREADY. The allover print brings style for any occasion.",adidas,USA,4.9,19,2021-10-23 17:50:25.155555,9,20.0
55,Brand Love Repeat Logo High-Waist Woven Pants,H10244,41,45,USD,instock,Purple,Clothing,adidas United States,https://www.adidas.com,Women/Clothing,"First things first. These are not your average track pants. They've got big personality, with an allover crinkle texture and a stacked adidas Badge of Sport that will make you do a double take. Elastic at the waist and ankles gives a secure fit with plenty of give.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,USA,4.3,16,2021-10-23 17:50:25.235180,4,8.88888888888889
56,ZX 2K Boost 2.0 Shoes,GZ7826,105,150,USD,instock,Green,Shoes,adidas United States,https://www.adidas.com,Women/Shoes,ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,adidas,USA,4.7,58,2021-10-23 17:50:25.427791,45,30.0
57,3-Stripes Low Cut Socks 3 Pairs,EX6581,10,14,USD,instock,Grey,Accessories,adidas United States,https://www.adidas.com,Women/Accessories,"Long sets of tuck-ups or leg presses, workouts feel just a little bit easier with the 3-Stripes on your side. Cut low for a comfort, these socks show off a touch of adidas love on the cuff for added motivation when you need it. Lightweight, moisture-wicking yarn keeps your feet feeling as good as they look.",adidas,USA,4.8,6,2021-10-23 17:50:26.085859,4,28.57142857142857
58,Future Icons 3-Stripes Tapered-Leg Pants,H07368,32,45,USD,instock,Grey,Clothing,adidas United States,https://www.adidas.com,Kids/Clothing,"Let your 3-Stripes do your talking for you. Warm up or cool down between workouts in these juniors' pants. Show off your love of adidas with a fresh take on the 3-Stripes. Soft knit feels like the weekend no matter what day you wear them. Enough said.

This product is made with Primegreen, a series of high-performance recycled materials.",adidas,USA,4.6,14,2021-10-23 17:50:26.272928,13,28.888888888888886
59,HEAT.RDY Warrior Tee,GU0680,40,50,USD,instock,Purple,Clothing,adidas United States,https://www.adidas.com,Men/Clothing,"Boot camp: Day one. Ah, the old inflatable obstacle course. You're going to conquer it like it's a bouncy castle. This adidas training t-shirt is made with HEAT.RDY to maximize airflow, so you feel cool as you maneuver. Three minutes later, you're swinging through the waterfall, and you're out.",adidas,USA,4.6,57,2021-10-23 17:50:26.356531,10,20.0
60,ZX 2K Boost 2.0 Shoes,GY3494,135,150,USD,instock,White,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,"Look fast. Feel fast. Built on cutting-edge running tech and a progressive spirit, these adidas ZX 2K Boost 2.0 Shoes serve up serious comfort for all your daily moves. Responsive Boost energizes every step as you zip around town. Translucent details flash futuristic style.",adidas,USA,4.7,183,2021-10-23 17:50:26.441483,15,10.0
61,ZX 2K Boost Pure Shoes,GZ7730,135,150,USD,instock,Blue,Shoes,adidas United States,https://www.adidas.com,Men/Shoes,Peer into pure satisfaction. Lace into the stealthy upper of the ZX 2K BOOST PURE's sophisticated tech silhouette. Feel the soft materials embrace your feet. Take a squishy step. The ZX universe just expanded to a new level of sensation.,adidas,USA,4.3,26,2021-10-23 17:50:26.709397,15,10.0
